Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.8450,N/A,1,1,3,67500,1000,1,"Static decoherence, no refresh",IDLE_40
3,SQM (Real Timing - Calibrated),0.7800,N/A,1,1,3,67500,1000,1,Backend-calibrated timing,IDLE_40
1,SWAP Compiler (Baseline),0.7360,N/A,1,1,3,67500,1000,1,"Static decoherence, no refresh",IDLE_80
3,SQM (Real Timing - Calibrated),0.6060,N/A,1,1,3,67500,1000,1,Backend-calibrated timing,IDLE_80
1,SWAP Compiler (Baseline),0.5180,N/A,1,1,3,67500,1000,1,"Static decoherence, no refresh",IDLE_160
3,SQM (Real Timing - Calibrated),0.6140,N/A,1,1,3,67500,1000,1,Backend-calibrated timing,IDLE_160
1,SWAP Compiler (Baseline),0.2600,N/A,1,1,3,67500,1000,1,"Static decoherence, no refresh",IDLE_320
3,SQM (Real Timing - Calibrated),0.4830,N/A,1,1,3,67500,1000,1,Backend-calibrated timing,IDLE_320
1,SWAP Compiler (Baseline),0.1390,N/A,1,1,3,67500,1000,1,"Static decoherence, no refresh",IDLE_500
3,SQM (Real Timing - Calibrated),0.5270,N/A,1,1,3,67500,1000,1,Backend-calibrated timing,IDLE_500
