"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","289.199980379166","271.78885576821466","0.025390625","0.04638671875","0.00439453125","2280","0.0002941617502381522","32","0.0002941617502381522","0","0.0002941617502381522","0.0002941617502381522","1:0.0020204271438460375","1:68","1:0.0016900384102676302","0.025390625","0.018798828125","Yes"
"1","266.20974252304114","286.9318713578769","0.110595703125","0.0751953125","0.14599609375","2280","0.00017921046754884696","32","0.00017921046754884696","0","0.00017921046754884696","0.00017921046754884696","2:0.0013523712637835972;0:0.0020204271438460375","2:68;0:68","2:0.0011341822823149605;0:0.0016900384102676302","0.110595703125","0.08251953125","Yes"
"2","362.7644684061933","107.04016421044005","0.00927734375","0.01318359375","0.00537109375","2280","0.00010303029987527978","32","0.00010303029987527978","0","0.00010303029987527978","0.00010303029987527978","1:0.0013523712637835972;3:0.0012033804630625922","1:68;3:68","1:0.0011341822823149605;3:0.0012093603184796797","0.00927734375","0.007080078125","Yes"
"3","297.3832386339017","288.1358287607292","0.006103515625","0.007080078125","0.005126953125","2280","0.0004121029800036055","32","0.0004121029800036055","0","0.0004121029800036055","0.0004121029800036055","16:0.0013277560473219652;2:0.0012033804630625922;4:0.0022246498008343385","16:68;2:68;4:68","16:0.0012199320619872;2:0.0012093603184796797;4:0.002003368972025299","0.006103515625","0.005126953125","Yes"
"4","255.11336146917802","45.38972215768052","0.012451171875","0.01025390625","0.0146484375","2280","0.0002850002597970647","32","0.0002850002597970647","0","0.0002850002597970647","0.0002850002597970647","3:0.0022246498008343385;5:0.002659528620642143","3:68;5:68","3:0.002003368972025299;5:0.002894809599120668","0.012451171875","0.013916015625","Yes"
"5","137.10273196800895","35.26299653611213","0.0054931640625","0.0107421875","0.000244140625","2280","0.0005694952412844736","32","0.0005694952412844736","0","0.0005694952412844736","0.0005694952412844736","6:0.002782410533192281;4:0.002659528620642143","6:68;4:68","6:0.004012840675158974;4:0.002894809599120668","0.0054931640625","0.0078125","Yes"
"6","164.07054720244676","83.60309889364737","0.01904296875","0.0234375","0.0146484375","2280","0.00025387540287038026","32","0.00025387540287038026","0","0.00025387540287038026","0.00025387540287038026","5:0.002782410533192281;7:0.007379496349024628","5:68;7:80","5:0.004012840675158974;7:0.007741934546098894","0.01904296875","0.010986328125","Yes"
"7","128.94700487892274","52.6798146055385","0.032958984375","0.0224609375","0.04345703125","2280","0.00027205668282463994","32","0.00027205668282463994","0","0.00027205668282463994","0.00027205668282463994","17:0.0070628806953277334;6:0.007379496349024628;8:0.01184990171317768","17:68;6:80;8:68","17:0.005717587954766373;6:0.007741934546098894;8:0.009419785903359013","0.032958984375","0.01611328125","Yes"
"8","298.0439872222872","85.17476518896329","0.0048828125","0.008544921875","0.001220703125","2280","0.00026492412263617204","32","0.00026492412263617204","0","0.00026492412263617204","0.00026492412263617204","9:0.008213135169752556;7:0.01184990171317768","9:68;7:68","9:0.005244588183611731;7:0.009419785903359013","0.0048828125","0.005859375","Yes"
"9","121.99818401082331","41.455327013486766","0.0047607421875","0.00927734375","0.000244140625","2280","0.00025670009030192545","32","0.00025670009030192545","0","0.00025670009030192545","0.00025670009030192545","8:0.008213135169752556;10:0.0060439404099002225","8:68;10:68","8:0.005244588183611731;10:0.0027106908771107052","0.0047607421875","0.005615234375","Yes"
"10","285.7949460435061","21.686323934128595","0.0047607421875","0.00537109375","0.00048828125","2280","0.00023984642027807723","32","0.00023984642027807723","0","0.00023984642027807723","0.00023984642027807723","9:0.0060439404099002225;11:0.0010762790473980433","9:68;11:68","9:0.0027106908771107052;11:0.0012621126684835837","0.0047607421875","0.00244140625","Yes"
"11","460.7985942329943","115.53451881624133","0.0057373046875","0.00537109375","0.006103515625","2280","0.0002891329000890251","32","0.0002891329000890251","0","0.0002891329000890251","0.0002891329000890251","18:0.00345717969650311;10:0.0010762790473980433;12:0.0011333974101322142","18:68;10:68;12:68","18:0.0015357615453013007;10:0.0012621126684835837;12:0.0010968424226084905","0.0057373046875","0.00732421875","Yes"
"12","320.14376122371164","280.67185680882375","0.036376953125","0.03857421875","0.0341796875","2280","0.00027582623508444606","32","0.00027582623508444606","0","0.00027582623508444606","0.00027582623508444606","13:0.0014594373716719788;11:0.0011333974101322142","13:68;11:68","13:0.001496819547224526;11:0.0010968424226084905","0.036376953125","0.01904296875","Yes"
"13","442.9796702572045","382.458970190375","0.0079345703125","0.0087890625","0.007080078125","2280","0.0003006381013729221","32","0.0003006381013729221","0","0.0003006381013729221","0.0003006381013729221","12:0.0014594373716719788;14:0.00152787017164277","12:68;14:68","12:0.001496819547224526;14:0.0013332444193094317","0.0079345703125","0.00634765625","Yes"
