"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","160.3769185572572","217.5683366910971","0.0068359375","0.0022309872838948467","0.00830078125","0.00537109375","2180","0.0002675397064445504","32","0.0002675397064445504","0","0.0002675397064445504","0.0002675397064445504","1:0.00103525364982901","1:68","1:0.0011309044810811075","0.0068359375","0.1904296875","Yes"
"1","314.2653842436699","457.44627779793785","0.007080078125","0.0019470965766290238","0.010986328125","0.003173828125","2180","0.0002254961927206707","32","0.0002254961927206707","0","0.0002254961927206707","0.0002254961927206707","2:0.0013062679949263634;0:0.00103525364982901","2:68;0:68","2:0.0008496244519544116;0:0.0011309044810811075","0.007080078125","0.232666015625","Yes"
"2","240.71088101713804","119.95232992193517","0.009033203125","0.0016780028412698056","0.01513671875","0.0029296875","2180","0.00009192354151728238","32","0.00009192354151728238","0","0.00009192354151728238","0.00009192354151728238","1:0.0013062679949263634;3:0.010023393571234718","1:68;3:68","1:0.0008496244519544116;3:0.0015821426251173554","0.009033203125","0.014404296875","Yes"
"3","269.9090224834101","397.379645528104","0.0037841796875","0.0006003826227889569","0.00732421875","0.000244140625","2180","0.00047380415431567155","32","0.00047380415431567155","0","0.00047380415431567155","0.00047380415431567155","16:0.004594396405708495;2:0.010023393571234718;4:0.010390631357687585","16:68;2:68;4:68","16:0.0017129456208959948;2:0.0015821426251173554;4:0.002302652695485269","0.0037841796875","0.005615234375","Yes"
"4","42.71753698713349","35.638401355138555","0.011474609375","0.0014128207093035588","0.017578125","0.00537109375","2180","0.0003205528173763063","32","0.0003205528173763063","0","0.0003205528173763063","0.0003205528173763063","3:0.010390631357687585;5:0.002866198346991672","3:68;5:68","3:0.002302652695485269;5:0.002734273481053845","0.011474609375","0.014892578125","Yes"
"5","183.87117755668865","69.81713055224876","0.00439453125","0.0002","0.00830078125","0.00048828125","2180","0.0005019343930564761","32","0.0005019343930564761","0","0.0005019343930564761","0.0005019343930564761","6:0.004386955754576205;4:0.002866198346991672","6:68;4:68","6:0.002612964431968262;4:0.002734273481053845","0.00439453125","0.015625","Yes"
"6","277.90166429211047","118.67851532011422","0.0068359375","0.0034498388742677383","0.0087890625","0.0048828125","2180","0.0006559534915715927","32","0.0006559534915715927","0","0.0006559534915715927","0.0006559534915715927","5:0.004386955754576205;7:0.009086115939517608","5:68;7:80","5:0.002612964431968262;7:0.008219942679657338","0.0068359375","0.0078125","Yes"
"7","271.9269288921199","75.48664272095247","0.0118408203125","","0.015869140625","0.0078125","2180","0.00028215757746731084","32","0.00028215757746731084","0","0.00028215757746731084","0.00028215757746731084","17:0.007018902199199095;6:0.009086115939517608;8:0.008200157437844607","17:68;6:80;8:68","17:0.005170419002600846;6:0.008219942679657338;8:0.005023282978616372","0.0118408203125","0.0126953125","Yes"
"8","260.19246818635406","91.21008825703855","0.0047607421875","0.0006880239168074067","0.0068359375","0.002685546875","2180","0.0003250019613484918","32","0.0003250019613484918","0","0.0003250019613484918","0.0003250019613484918","9:0.004738733401753958;7:0.008200157437844607","9:68;7:68","9:0.001730444005617865;7:0.005023282978616372","0.0047607421875","0.017333984375","Yes"
"9","161.61573639296833","47.05896327361272","0.0074462890625","0.00021394656556964628","0.014404296875","0.00048828125","2180","0.00020297002527883042","32","0.00020297002527883042","0","0.00020297002527883042","0.00020297002527883042","8:0.004738733401753958;10:0.003230801632273572","8:68;10:68","8:0.001730444005617865;10:0.0017009393145303864","0.0074462890625","0.009521484375","Yes"
"10","292.3442133644308","24.063599111514318","0.0684814453125","0.002605947706385369","0.134033203125","0.0029296875","2180","0.0002355528633323334","32","0.0002355528633323334","0","0.0002355528633323334","0.0002355528633323334","9:0.003230801632273572;11:0.0012726188746269018","9:68;11:68","9:0.0017009393145303864;11:0.0014417020990270812","0.0684814453125","0.005615234375","Yes"
"11","384.9420716319534","118.77778058861547","0.0093994140625","0.0008028101439270502","0.016357421875","0.00244140625","2180","0.0002573839751914384","32","0.0002573839751914384","0","0.0002573839751914384","0.0002573839751914384","18:0.0019114500508720655;10:0.0012726188746269018;12:0.0010963164235515965","18:68;10:68;12:68","18:0.001867180494161208;10:0.0014417020990270812;12:0.0011973957000522562","0.0093994140625","0.001220703125","Yes"
"12","251.2639836520887","280.66901714254783","0.0301513671875","","0.040283203125","0.02001953125","2180","0.00033873827694428624","32","0.00033873827694428624","0","0.00033873827694428624","0.00033873827694428624","13:0.00301526589293169;11:0.0010963164235515965","13:68;11:68","13:0.001375848058715684;11:0.0011973957000522562","0.0301513671875","0.03173828125","Yes"
"13","328.1831098770923","492.8364289158327","0.0042724609375","0.0007194457836853579","0.006103515625","0.00244140625","2180","0.0005561134322810547","32","0.0005561134322810547","0","0.0005561134322810547","0.0005561134322810547","12:0.00301526589293169;14:0.005792843509696832","12:68;14:68","12:0.001375848058715684;14:0.0014207335923580033","0.0042724609375","0.005126953125","Yes"
"14","51.41170573803409","66.53254357409949","0.0220947265625","","0.025634765625","0.0185546875","2180","0.00021464325867961414","32","0.00021464325867961414","0","0.00021464325867961414","0.00021464325867961414","15:0.0035608090317830743;13:0.005792843509696832","15:68;13:68","15:0.0018928074385286264;13:0.0014207335923580033","0.0220947265625","0.013671875","Yes"
"15","186.02974109345058","230.72532737403978","0.00439453125","0.0010229109459030021","0.007568359375","0.001220703125","2180","0.00011768363624220986","32","0.00011768363624220986","0","0.00011768363624220986","0.00011768363624220986","14:0.0035608090317830743;19:0.0034889936060572","14:68;19:68","14:0.0018928074385286264;19:0.0015133032524272394","0.00439453125","0.0029296875","Yes"
"16","202.66441826319829","157.17055269537715","0.0054931640625","0.0017161450170286954","0.00927734375","0.00244140625","2180","0.00013176919023794124","32","0.00013176919023794124","0","0.00013176919023794124","0.00013176919023794124","23:0.001682686142286366;3:0.004594396405708495","23:68;3:68","23:0.0010925332944608512;3:0.0017129456208959948","0.0054931640625","0.02099609375","Yes"
"17","324.9147355472698","126.42802412187962","0.0037841796875","0.0002","0.006591796875","0.0009765625","2180","0.00020018245551847797","32","0.00020018245551847797","0","0.00020018245551847797","0.00020018245551847797","7:0.007018902199199095;27:0.001551085726727769","7:68;27:68","7:0.005170419002600846;27:0.0013776417444248956","0.0037841796875","0.004150390625","Yes"
