"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","XSLOW error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"0","271.89197575394525","347.02957502493666","0.0068359375","0.0034874297605464962","0.01025390625","0.00341796875","2180","0.00023684294466341555","32","0.00023684294466341555","0","0.00023684294466341555","0.00023684294466341555","0.00023684294466341555","1:0.0010686895211509118","1:68","1:0.0010761578616023115","0.0068359375","0.18505859375","Yes"
"1","254.58477747186285","348.67597957187854","0.01123046875","0.0007803311616748344","0.01025390625","0.01220703125","2180","0.00018021074214709658","32","0.00018021074214709658","0","0.00018021074214709658","0.00018021074214709658","0.00018021074214709658","2:0.0008216435283388834;0:0.0010686895211509118","2:68;0:68","2:0.0009476554564087081;0:0.0010761578616023115","0.01123046875","0.411865234375","Yes"
"2","313.3445292667286","129.30311922990134","0.00830078125","0.0012198104643409162","0.01171875","0.0048828125","2180","0.00008094065169891424","32","0.00008094065169891424","0","0.00008094065169891424","0.00008094065169891424","0.00008094065169891424","1:0.0008216435283388834;3:0.0014378985447953407","1:68;3:68","1:0.0009476554564087081;3:0.001225458141466712","0.00830078125","0.010498046875","Yes"
"3","161.7737380847774","254.86750501346663","0.0087890625","0.002000055096224715","0.01416015625","0.00341796875","2180","0.00036131549861761586","32","0.00036131549861761586","0","0.00036131549861761586","0.00036131549861761586","0.00036131549861761586","16:0.0011038996790617983;2:0.0014378985447953407;4:0.0020975841977298737","16:68;2:68;4:68","16:0.0013015384968247945;2:0.001225458141466712;4:0.002099697070155143","0.0087890625","0.0078125","Yes"
"4","222.64473672266823","59.60144493518223","0.006103515625","0.0006044909913614704","0.0087890625","0.00341796875","2180","0.0003031487895150291","32","0.0003031487895150291","0","0.0003031487895150291","0.0003031487895150291","0.0003031487895150291","3:0.0020975841977298737;5:0.002051863587124808","3:68;5:68","3:0.002099697070155143;5:0.002052835414728865","0.006103515625","0.021240234375","Yes"
"5","170.03718284552585","84.59659015362723","0.004638671875","0.0016005540329279196","0.00732421875","0.001953125","2180","0.00028746295605678256","32","0.00028746295605678256","0","0.00028746295605678256","0.00028746295605678256","0.00028746295605678256","6:0.0021051775701074193;4:0.002051863587124808","6:68;4:68","6:0.0023969530590338683;4:0.002052835414728865","0.004638671875","0.016845703125","Yes"
"6","131.25953031892703","87.826382627805","0.009033203125","0.0017157500723878898","0.009765625","0.00830078125","2180","0.00020890970640343812","32","0.00020890970640343812","0","0.00020890970640343812","0.00020890970640343812","0.00020890970640343812","5:0.0021051775701074193;7:0.00749709599520737","5:68;7:80","5:0.0023969530590338683;7:0.008299799405457692","0.009033203125","0.004638671875","Yes"
"7","350.7078642775235","103.5552273700306","0.013916015625","","0.0185546875","0.00927734375","2180","0.0003159160355966108","32","0.0003159160355966108","0","0.0003159160355966108","0.0003159160355966108","0.0003159160355966108","17:0.006241191415849973;6:0.00749709599520737;8:0.00760016128433022","17:68;6:80;8:68","17:0.004582601574560141;6:0.008299799405457692;8:0.005483703371389231","0.013916015625","0.005859375","Yes"
"8","172.13082963162685","68.26963905870835","0.0146484375","0.0002","0.0185546875","0.0107421875","2180","0.00031102046094831425","32","0.00031102046094831425","0","0.00031102046094831425","0.00031102046094831425","0.00031102046094831425","9:0.003089809909417901;7:0.00760016128433022","9:68;7:68","9:0.002195528031119387;7:0.005483703371389231","0.0146484375","0.04052734375","Yes"
"9","138.86285905856695","44.55221190663402","0.00439453125","0.0002","0.0078125","0.0009765625","2180","0.0002328298716012904","32","0.0002328298716012904","0","0.0002328298716012904","0.0002328298716012904","0.0002328298716012904","8:0.003089809909417901;10:0.0032388774152898037","8:68;10:68","8:0.002195528031119387;10:0.0046265954643274765","0.00439453125","0.022705078125","Yes"
