SQM Delay Characterization Results
Timestamp,2026-04-19T17:03:36.141256
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.918283
"tau (decay time, ns)",369789.83
B (asymptote),0.074057

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.995000,0.992340
500.0,0.500,0.989000,0.991099
1000.0,1.000,0.993000,0.989860
2000.0,2.000,0.985000,0.987387
4000.0,4.000,0.980500,0.982461
6000.0,6.000,0.975250,0.977561
8000.0,8.000,0.972250,0.972687
10000.0,10.000,0.967000,0.967840
15000.0,15.000,0.955750,0.955837
20000.0,20.000,0.945500,0.943994
30000.0,30.000,0.921500,0.920784
40000.0,40.000,0.900250,0.898193
50000.0,50.000,0.882750,0.876205
60000.0,60.000,0.854000,0.854804
80000.0,80.000,0.808500,0.813699
100000.0,100.000,0.772000,0.774758
120000.0,120.000,0.739000,0.737868
150000.0,150.000,0.687000,0.686141
200000.0,200.000,0.609000,0.608731
