SQM ID Gate Characterization Results
Timestamp,2026-04-19T19:17:43.322667
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2
T1 (ns),192566.000
T2 (ns),35887.000
idle_time_ns,1350.0

Fit Parameters: F(m) = A * p^m + B
A (SPAM contrast),0.951167
p (process decay),0.992632
B (asymptote),0.041985

m (ID gates),F_emp,F_fit
0,0.990250,0.993153
1,0.987750,0.986144
2,0.980250,0.979188
4,0.964500,0.965428
6,0.955750,0.951871
8,0.932250,0.938512
10,0.922500,0.925350
15,0.899500,0.893283
20,0.852500,0.862380
25,0.841000,0.832599
30,0.809500,0.803899
40,0.756250,0.749587
50,0.696500,0.699146
60,0.641750,0.652301
80,0.567000,0.568391
100,0.500000,0.496018
