RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-20T20:35:50.556366
Backend,fake_kyiv
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,ECR
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.471050
p (process decay per teleport),0.956638
B (asymptote),0.500547
r_empirical,0.021681
p_teleport_theory,0.095269

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.994250,0.971597
1,0.953500,0.951171
2,0.922750,0.931631
4,0.889750,0.895057
6,0.854750,0.861585
8,0.817750,0.830954
10,0.801000,0.802921
15,0.734750,0.742808
20,0.699500,0.694645
25,0.663250,0.656057
30,0.632500,0.625141
40,0.581500,0.580526
50,0.562250,0.551886
60,0.535000,0.533502
80,0.514250,0.514126
100,0.493000,0.506142
