SQM Delay Characterization Results
Timestamp,2026-04-28T21:55:46.630183
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.473913
"tau (decay time, ns)",371959.49
B (asymptote),0.519789
initial_state,3
t (ns),t (us),F_emp,F_fit
0.0,0.000,0.993250,0.993702
500.0,0.500,0.991250,0.993065
1000.0,1.000,0.990000,0.992430
2000.0,2.000,0.991750,0.991161
4000.0,4.000,0.987000,0.988633
6000.0,6.000,0.985000,0.986119
8000.0,8.000,0.984500,0.983618
10000.0,10.000,0.977750,0.981131
15000.0,15.000,0.973750,0.974971
20000.0,20.000,0.974500,0.968893
30000.0,30.000,0.960500,0.956980
40000.0,40.000,0.937500,0.945383
50000.0,50.000,0.931250,0.934093
60000.0,60.000,0.926000,0.923103
80000.0,80.000,0.901500,0.901990
100000.0,100.000,0.892250,0.881982
120000.0,120.000,0.873250,0.863022
150000.0,150.000,0.837500,0.836426
200000.0,200.000,0.790750,0.796599
400000.0,400.000,0.667250,0.681472
600000.0,600.000,0.622500,0.614228
