SQM Delay Characterization Results
Timestamp,2026-04-23T21:22:45.823884
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.425007
"tau (decay time, ns)",302619.05
B (asymptote),0.570957

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.993164,0.995964
500.0,0.500,0.994141,0.995262
1000.0,1.000,0.992188,0.994562
2000.0,2.000,0.989258,0.993164
4000.0,4.000,0.991211,0.990383
6000.0,6.000,0.985352,0.987620
8000.0,8.000,0.983398,0.984876
10000.0,10.000,0.982422,0.982149
15000.0,15.000,0.976562,0.975411
20000.0,20.000,0.965820,0.968783
30000.0,30.000,0.964844,0.955852
40000.0,40.000,0.939453,0.943341
50000.0,50.000,0.942383,0.931237
60000.0,60.000,0.929688,0.919526
80000.0,80.000,0.885742,0.897234
100000.0,100.000,0.880859,0.876368
120000.0,120.000,0.868164,0.856836
150000.0,150.000,0.815430,0.829855
200000.0,200.000,0.788086,0.790425
400000.0,400.000,0.682617,0.684288
600000.0,600.000,0.631836,0.629480
