SQM Delay Characterization Results
Timestamp,2026-04-23T20:57:52.014256
Backend,fake_kyiv
N_qubits,2
Hilbert Dimension,d = 2^2 = 4

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.981123
"tau (decay time, ns)",205170.26
B (asymptote),0.000000

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.984250,0.981123
500.0,0.500,0.975250,0.978735
1000.0,1.000,0.976250,0.976353
2000.0,2.000,0.973500,0.971606
4000.0,4.000,0.959500,0.962181
6000.0,6.000,0.951250,0.952847
8000.0,8.000,0.944750,0.943604
10000.0,10.000,0.933250,0.934450
15000.0,15.000,0.906000,0.911953
20000.0,20.000,0.893750,0.889997
30000.0,30.000,0.841250,0.847659
40000.0,40.000,0.800250,0.807335
50000.0,50.000,0.784500,0.768929
60000.0,60.000,0.736500,0.732350
80000.0,80.000,0.663750,0.664330
100000.0,100.000,0.609500,0.602627
120000.0,120.000,0.548000,0.546655
150000.0,150.000,0.471250,0.472292
200000.0,200.000,0.364500,0.370146
400000.0,400.000,0.131500,0.139644
600000.0,600.000,0.056500,0.052683
