SQM RB Characterization Results (NOT protocol)
Timestamp,2026-04-23T19:29:11.792545
Backend,fake_kyiv
Architecture,2 registers * 2 qubits = 4 total qubits
Hilbert Dimension,d = 2^2 = 4
Native Gate,X

Magesan Fit Parameters
A (SPAM contrast),0.886832
p (process decay),0.999745
B (asymptote),0.094644
r_empirical,0.000191
p_not_theory,0.004334

m (NOT cycles),F_emp (fidelity),F_fit (fitted)
0,0.981500,0.981476
1,0.978500,0.981249
2,0.980250,0.981023
4,0.978500,0.980570
6,0.981250,0.980118
8,0.980250,0.979666
10,0.979000,0.979214
15,0.983250,0.978086
20,0.979000,0.976959
25,0.973750,0.975833
30,0.975750,0.974709
40,0.971500,0.972464
50,0.969000,0.970226
60,0.967750,0.967993
80,0.964250,0.963545
100,0.958750,0.959119
