SQM RB Characterization Results (SystolicTeleportation)
Timestamp,2026-04-23T19:30:21.385596
Backend,fake_kyiv
Architecture,4 registers * 1 qubits = 4 total qubits
Hilbert Dimension,d = 2^1 = 2
Native Gate,ECR
Teleportation Module,SystolicTeleportation (with active reset)

Magesan Fit Parameters
A (SPAM contrast),0.436835
p (process decay),0.983608
B (asymptote),0.527341
r_empirical,0.008196
p_swap_theory,0.139444

m (SWAP cycles),F_emp (fidelity),F_fit (fitted)
0,0.963750,0.964176
1,0.958250,0.957015
2,0.944500,0.949972
4,0.932500,0.936230
6,0.927500,0.922935
8,0.913000,0.910071
10,0.892750,0.897627
15,0.878750,0.868256
20,0.839250,0.841216
25,0.814250,0.816320
30,0.802250,0.793399
40,0.746500,0.752866
50,0.711750,0.718509
60,0.688250,0.689385
80,0.649000,0.643773
100,0.610500,0.611000
