RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-27T21:43:21.890859
Backend,fake_kyiv
Architecture,3 registers × 2 qubits = 6 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^2 = 4
Native Gate,ECR
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.623518
p (process decay per teleport),0.843171
B (asymptote),0.289053
r_empirical,0.117622
p_teleport_theory,0.181462

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.977000,0.912571
1,0.782250,0.814785
2,0.681000,0.732335
4,0.577000,0.604199
6,0.519000,0.513102
8,0.458000,0.448338
10,0.422000,0.402295
15,0.378750,0.337313
20,0.359500,0.309619
25,0.307250,0.297817
30,0.308250,0.292788
40,0.296750,0.289731
50,0.268250,0.289176
60,0.268000,0.289075
80,0.264000,0.289053
100,0.244250,0.289053
