RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-29T14:38:07.480365
Backend,fake_kyiv
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,ECR
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.469117
p (process decay per teleport),0.954955
B (asymptote),0.504100
r_empirical,0.022522
p_teleport_theory,0.095269

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.995000,0.973217
1,0.936250,0.952086
2,0.917250,0.931906
4,0.890250,0.894234
6,0.868250,0.859879
8,0.828500,0.828549
10,0.805500,0.799978
15,0.736750,0.739078
20,0.701250,0.690714
25,0.645000,0.652304
30,0.622750,0.621800
40,0.575750,0.578335
50,0.550750,0.550921
60,0.527500,0.533631
80,0.517000,0.515847
100,0.513500,0.508773
