RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-29T14:39:12.472100
Backend,fake_kyiv
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,ECR
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.474587
p (process decay per teleport),0.952565
B (asymptote),0.506010
r_empirical,0.023718
p_teleport_theory,0.095269

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.993250,0.980598
1,0.959500,0.958085
2,0.930250,0.936641
4,0.885250,0.896756
6,0.862750,0.860565
8,0.816750,0.827726
10,0.798500,0.797929
15,0.743750,0.734957
20,0.684500,0.685569
25,0.663750,0.646835
30,0.617250,0.616457
40,0.560250,0.573946
50,0.541750,0.547798
60,0.533250,0.531714
80,0.520500,0.515735
100,0.509750,0.509690
