SQM Delay Characterization Results
Timestamp,2026-04-28T22:19:48.316348
Backend,fake_kyiv
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.529762
"tau (decay time, ns)",441233.96
B (asymptote),0.463370

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.995250,0.993132
500.0,0.500,0.995000,0.992532
1000.0,1.000,0.991500,0.991933
2000.0,2.000,0.990500,0.990736
4000.0,4.000,0.986250,0.988351
6000.0,6.000,0.985750,0.985977
8000.0,8.000,0.982750,0.983614
10000.0,10.000,0.984250,0.981261
15000.0,15.000,0.975000,0.975425
20000.0,20.000,0.970750,0.969656
30000.0,30.000,0.954750,0.958310
40000.0,40.000,0.955500,0.947219
50000.0,50.000,0.934000,0.936377
60000.0,60.000,0.922000,0.925777
80000.0,80.000,0.899250,0.905285
100000.0,100.000,0.883250,0.885702
120000.0,120.000,0.862750,0.866986
150000.0,150.000,0.848500,0.840456
200000.0,200.000,0.802500,0.800057
400000.0,400.000,0.677250,0.677349
600000.0,600.000,0.598750,0.599363
