SQM RB Characterization Results (SWAP protocol)
Timestamp,2026-04-27T21:33:28.839351
Backend,fake_kyiv
Architecture,2 registers * 2 qubits = 4 total qubits
Hilbert Dimension,d = 2^2 = 4
Native Gate,ECR

Magesan Fit Parameters
A (SPAM contrast),0.666010
p (process decay),0.953740
B (asymptote),0.306123
r_empirical,0.034695
p_swap_theory,0.259443

m (SWAP cycles),F_emp (fidelity),F_fit (fitted)
0,0.981000,0.972132
1,0.949750,0.941323
2,0.912750,0.911939
4,0.851250,0.857185
6,0.793500,0.807381
8,0.757500,0.762077
10,0.713500,0.720868
15,0.633500,0.633413
20,0.572750,0.564398
25,0.515500,0.509937
30,0.462250,0.466959
40,0.408750,0.406281
50,0.379750,0.368494
60,0.353500,0.344963
80,0.308500,0.321185
100,0.306750,0.311964
