Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9248,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_10,READ_0"
3,SQM (Real Timing - Calibrated),0.9316,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_10,READ_0"
1,SWAP Compiler (Baseline),0.7822,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_20,READ_0"
3,SQM (Real Timing - Calibrated),0.7646,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_20,READ_0"
1,SWAP Compiler (Baseline),0.3516,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.3760,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.1455,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.5195,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.5254,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_100,READ_0"
3,SQM (Real Timing - Calibrated),0.6582,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_100,READ_0"
1,SWAP Compiler (Baseline),0.6807,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_150,READ_0"
3,SQM (Real Timing - Calibrated),0.4873,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_150,READ_0"
1,SWAP Compiler (Baseline),0.1924,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_200,READ_0"
3,SQM (Real Timing - Calibrated),0.5977,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_200,READ_0"
1,SWAP Compiler (Baseline),0.5020,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_300,READ_0"
3,SQM (Real Timing - Calibrated),0.5371,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_300,READ_0"
1,SWAP Compiler (Baseline),0.6855,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_400,READ_0"
3,SQM (Real Timing - Calibrated),0.5195,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_400,READ_0"
1,SWAP Compiler (Baseline),0.5547,N/A,1,1,10,55000,1024,3,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.5303,N/A,1,1,10,55000,1024,3,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
