SQM Delay Characterization Results
Timestamp,2026-04-27T20:07:53.752360
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.920193
"tau (decay time, ns)",218610.14
B (asymptote),0.059504

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.992250,0.979697
500.0,0.500,0.989250,0.977595
1000.0,1.000,0.987750,0.975497
2000.0,2.000,0.982500,0.971317
4000.0,4.000,0.963750,0.963013
6000.0,6.000,0.954500,0.954785
8000.0,8.000,0.940500,0.946631
10000.0,10.000,0.930750,0.938552
15000.0,15.000,0.919500,0.918675
20000.0,20.000,0.900250,0.899247
30000.0,30.000,0.852500,0.861700
40000.0,40.000,0.801250,0.825831
50000.0,50.000,0.787250,0.791566
60000.0,60.000,0.749250,0.758834
80000.0,80.000,0.664000,0.697693
100000.0,100.000,0.629250,0.641899
120000.0,120.000,0.631000,0.590982
150000.0,150.000,0.555000,0.522830
200000.0,200.000,0.411250,0.428104
400000.0,400.000,0.224000,0.207154
600000.0,600.000,0.104500,0.118648
