SQM Delay Characterization Results
Timestamp,2026-04-28T22:14:30.315920
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.637286
"tau (decay time, ns)",18909.13
B (asymptote),0.419587

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.994500,1.056873
500.0,0.500,0.993250,1.040243
1000.0,1.000,0.988750,1.024046
2000.0,2.000,0.990750,0.992911
4000.0,4.000,0.983250,0.935367
6000.0,6.000,0.970500,0.883600
8000.0,8.000,0.772000,0.837028
10000.0,10.000,0.840500,0.795131
15000.0,15.000,0.809000,0.707873
20000.0,20.000,0.771750,0.640889
30000.0,30.000,0.604750,0.549997
40000.0,40.000,0.397500,0.496436
50000.0,50.000,0.228750,0.464873
60000.0,60.000,0.137000,0.446274
80000.0,80.000,0.159000,0.428854
100000.0,100.000,0.412500,0.422805
120000.0,120.000,0.727000,0.420705
150000.0,150.000,0.714750,0.419816
200000.0,200.000,0.284750,0.419604
400000.0,400.000,0.581000,0.419587
600000.0,600.000,0.461250,0.419587
