RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-27T21:48:18.303340
Backend,ibm_kingston
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,CZ
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.560766
p (process decay per teleport),0.861767
B (asymptote),0.450506
r_empirical,0.069117
p_teleport_theory,0.089644

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.991500,1.011272
1,0.938500,0.933756
2,0.890500,0.866955
4,0.762000,0.759778
6,0.684000,0.680185
8,0.621000,0.621075
10,0.564500,0.577178
15,0.493500,0.510710
20,0.483500,0.479120
25,0.457500,0.464105
30,0.460500,0.456969
40,0.470500,0.451966
50,0.438000,0.450836
60,0.445000,0.450580
80,0.457500,0.450510
100,0.457500,0.450506
