EXPERIMENT PARAMETERS
Parameter,Value
R (Logical Addresses),1
n (Qubits per Register),1
c_max (Max Cost Threshold),10
t_max_ns (Max Time Threshold),1000
shots,4000
initial_state,1

DETAILED RESULTS
Run,Workload,Tasks,SQM_Fidelity,SWAP_Fidelity,Difference,Percent_Diff,SQM_Qubits,SWAP_Qubits
1,Workload 1 3 instructions,WRITE_0 -> IDLE_10 -> READ_0,0.682,0.91575,-0.2337499999999999,-25.525525525525516,N/A,N/A
2,Workload 2 3 instructions,WRITE_0 -> IDLE_20 -> READ_0,0.57725,0.84975,-0.27249999999999996,-32.068255369226236,N/A,N/A
3,Workload 3 3 instructions,WRITE_0 -> IDLE_40 -> READ_0,0.48075,0.73125,-0.25049999999999994,-34.256410256410255,N/A,N/A
4,Workload 4 3 instructions,WRITE_0 -> IDLE_80 -> READ_0,0.4605,0.5785,-0.118,-20.397579948141743,N/A,N/A
5,Workload 5 3 instructions,WRITE_0 -> IDLE_100 -> READ_0,0.46275,0.50425,-0.04149999999999998,-8.230044620723843,N/A,N/A
6,Workload 6 3 instructions,WRITE_0 -> IDLE_150 -> READ_0,0.4575,0.353,0.10450000000000004,29.603399433427775,N/A,N/A
7,Workload 7 3 instructions,WRITE_0 -> IDLE_200 -> READ_0,0.4635,0.2415,0.22200000000000003,91.92546583850934,N/A,N/A
8,Workload 8 3 instructions,WRITE_0 -> IDLE_300 -> READ_0,0.46725,0.1315,0.33575,255.3231939163498,N/A,N/A
9,Workload 9 3 instructions,WRITE_0 -> IDLE_400 -> READ_0,0.4565,0.07275,0.38375000000000004,527.491408934708,N/A,N/A
10,Workload 10 3 instructions,WRITE_0 -> IDLE_500 -> READ_0,0.43925,0.04225,0.39699999999999996,939.6449704142011,N/A,N/A
11,Workload 11 3 instructions,WRITE_0 -> IDLE_600 -> READ_0,0.4615,0.026,0.4355,1675.0,N/A,N/A
12,Workload 12 3 instructions,WRITE_0 -> IDLE_700 -> READ_0,0.455,0.0165,0.4385,2657.5757575757575,N/A,N/A
13,Workload 13 3 instructions,WRITE_0 -> IDLE_800 -> READ_0,0.45,0.01725,0.43275,2508.695652173913,N/A,N/A
14,Workload 14 3 instructions,WRITE_0 -> IDLE_900 -> READ_0,0.465,0.015,0.45,3000.0000000000005,N/A,N/A
