Scenario,Configuration,Fidelity,Job_ID,R,N,C_Max,T_Max_ns,Shots,Initial_State,Notes,Workload
1,SWAP Compiler (Baseline),0.9430,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_10,READ_0"
3,SQM (Real Timing - Calibrated),0.4990,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_10,READ_0"
1,SWAP Compiler (Baseline),0.9030,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_20,READ_0"
3,SQM (Real Timing - Calibrated),0.4410,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_20,READ_0"
1,SWAP Compiler (Baseline),0.7550,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_40,READ_0"
3,SQM (Real Timing - Calibrated),0.4060,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_40,READ_0"
1,SWAP Compiler (Baseline),0.7310,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_80,READ_0"
3,SQM (Real Timing - Calibrated),0.4280,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_80,READ_0"
1,SWAP Compiler (Baseline),0.6910,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_100,READ_0"
3,SQM (Real Timing - Calibrated),0.4480,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_100,READ_0"
1,SWAP Compiler (Baseline),0.5900,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_150,READ_0"
3,SQM (Real Timing - Calibrated),0.4240,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_150,READ_0"
1,SWAP Compiler (Baseline),0.5200,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_200,READ_0"
3,SQM (Real Timing - Calibrated),0.4380,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_200,READ_0"
1,SWAP Compiler (Baseline),0.3310,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_300,READ_0"
3,SQM (Real Timing - Calibrated),0.4560,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_300,READ_0"
1,SWAP Compiler (Baseline),0.3140,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_400,READ_0"
3,SQM (Real Timing - Calibrated),0.4340,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_400,READ_0"
1,SWAP Compiler (Baseline),0.2390,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_500,READ_0"
3,SQM (Real Timing - Calibrated),0.4380,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_500,READ_0"
1,SWAP Compiler (Baseline),0.1770,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_600,READ_0"
3,SQM (Real Timing - Calibrated),0.4840,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_600,READ_0"
1,SWAP Compiler (Baseline),0.1250,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_700,READ_0"
3,SQM (Real Timing - Calibrated),0.4410,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_700,READ_0"
1,SWAP Compiler (Baseline),0.1520,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_800,READ_0"
3,SQM (Real Timing - Calibrated),0.4680,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_800,READ_0"
1,SWAP Compiler (Baseline),0.0870,N/A,1,1,10,1350,1000,1,"Static decoherence, no refresh","WRITE_0,IDLE_900,READ_0"
3,SQM (Real Timing - Calibrated),0.4420,N/A,1,1,10,1350,1000,1,Backend-calibrated timing,"WRITE_0,IDLE_900,READ_0"
