SQM Delay Characterization Results
Timestamp,2026-04-28T22:03:00.761886
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2
initial_state,3

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.647639
"tau (decay time, ns)",19613.30
B (asymptote),0.425211

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.993250,1.072850
500.0,0.500,0.990250,1.056548
1000.0,1.000,0.985750,1.040657
2000.0,2.000,0.983750,1.010065
4000.0,4.000,0.976500,0.953366
6000.0,6.000,0.959750,0.902164
8000.0,8.000,0.941500,0.855926
10000.0,10.000,0.915750,0.814170
15000.0,15.000,0.850500,0.726643
20000.0,20.000,0.779250,0.658812
30000.0,30.000,0.569750,0.565508
40000.0,40.000,0.347500,0.509470
50000.0,50.000,0.196500,0.475815
60000.0,60.000,0.121250,0.455603
80000.0,80.000,0.216000,0.436173
100000.0,100.000,0.498250,0.429165
120000.0,120.000,0.763000,0.426637
150000.0,150.000,0.694750,0.425520
200000.0,200.000,0.247000,0.425235
400000.0,400.000,0.603500,0.425211
600000.0,600.000,0.457000,0.425211
