SQM Delay Characterization Results
Timestamp,2026-04-23T21:02:37.209751
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.668287
"tau (decay time, ns)",14080.45
B (asymptote),0.408495

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.990234,1.076782
500.0,0.500,0.991211,1.053468
1000.0,1.000,0.981445,1.030967
2000.0,2.000,0.972656,0.988292
4000.0,4.000,0.966797,0.911518
6000.0,6.000,0.929688,0.844911
8000.0,8.000,0.910156,0.787123
10000.0,10.000,0.868164,0.736988
15000.0,15.000,0.729492,0.638802
20000.0,20.000,0.574219,0.569964
30000.0,30.000,0.262695,0.487864
40000.0,40.000,0.099609,0.447509
50000.0,50.000,0.102539,0.427672
60000.0,60.000,0.250977,0.417922
80000.0,80.000,0.808594,0.410773
100000.0,100.000,0.751953,0.409046
120000.0,120.000,0.333008,0.408628
150000.0,150.000,0.406250,0.408511
200000.0,200.000,0.461914,0.408496
400000.0,400.000,0.398438,0.408495
600000.0,600.000,0.492188,0.408495
