SQM Delay Characterization Results
Timestamp,2026-04-23T20:44:33.913689
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.976739
"tau (decay time, ns)",369572.33
B (asymptote),0.008882

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.989000,0.985621
500.0,0.500,0.986250,0.984300
1000.0,1.000,0.987000,0.982982
2000.0,2.000,0.981750,0.980350
4000.0,4.000,0.977500,0.975106
6000.0,6.000,0.973250,0.969892
8000.0,8.000,0.968250,0.964705
10000.0,10.000,0.963000,0.959547
15000.0,15.000,0.945000,0.946771
20000.0,20.000,0.938250,0.934168
30000.0,30.000,0.908250,0.909467
40000.0,40.000,0.888750,0.885426
50000.0,50.000,0.846500,0.862026
60000.0,60.000,0.824750,0.839251
80000.0,80.000,0.784000,0.795508
100000.0,100.000,0.748750,0.754070
120000.0,120.000,0.712500,0.714815
150000.0,150.000,0.669250,0.659775
200000.0,200.000,0.586000,0.577412
400000.0,400.000,0.351750,0.339806
600000.0,600.000,0.192750,0.201503
