SQM Delay Characterization Results
Timestamp,2026-04-29T20:12:55.519120
Backend,ibm_kingston
N_qubits,1
Hilbert Dimension,d = 2^1 = 2

Fit Parameters: F(t) = A * exp(-t/tau) + B
A (SPAM contrast),0.096138
"tau (decay time, ns)",999999999994.96
B (asymptote),0.883910

t (ns),t (us),F_emp,F_fit
0.0,0.000,0.974250,0.980048
500.0,0.500,0.973250,0.980048
1000.0,1.000,0.981000,0.980048
2000.0,2.000,0.981500,0.980048
4000.0,4.000,0.978750,0.980048
6000.0,6.000,0.977250,0.980048
8000.0,8.000,0.979000,0.980048
10000.0,10.000,0.979750,0.980048
15000.0,15.000,0.982000,0.980048
20000.0,20.000,0.977000,0.980048
30000.0,30.000,0.979000,0.980048
40000.0,40.000,0.984250,0.980048
50000.0,50.000,0.979000,0.980048
60000.0,60.000,0.981000,0.980048
80000.0,80.000,0.978500,0.980048
100000.0,100.000,0.981000,0.980048
120000.0,120.000,0.981000,0.980048
150000.0,150.000,0.980000,0.980048
200000.0,200.000,0.984000,0.980048
400000.0,400.000,0.984500,0.980048
600000.0,600.000,0.985000,0.980048
