RB Characterization Results (Multiple Teleportation Protocol)
Timestamp,2026-04-29T20:17:37.110184
Backend,ibm_kingston
Architecture,3 registers × 1 qubits = 3 total qubits
Registers,"reg_A (ping), reg_B (pong), ancilla (Bell channel)"
Hilbert Dimension,d = 2^1 = 2
Native Gate,CZ
Protocol,"SystolicTeleportation (ping-pong, active reset)"

Magesan Fit Parameters
A (SPAM contrast),0.479596
p (process decay per teleport),0.867338
B (asymptote),0.518149
r_empirical,0.066331
p_teleport_theory,0.100691

m (teleport cycles),F_emp (fidelity),F_fit (fitted)
0,0.975750,0.997745
1,0.965500,0.934121
2,0.875250,0.878937
4,0.802500,0.789561
6,0.704750,0.722326
8,0.660000,0.671746
10,0.633250,0.633696
15,0.588750,0.574864
20,0.542500,0.545987
25,0.529000,0.531813
30,0.541250,0.524856
40,0.519750,0.519764
50,0.511250,0.518538
60,0.514000,0.518242
80,0.515750,0.518154
100,0.519250,0.518149
